Episode #1890  |  Val. Score: -0.50  |  Avg. Val. Score: -0.53  |  Epsilon: 0.350  |  Time elapsed: 1028.44s
Episode #1900  |  Val. Score: +0.00  |  Avg. Val. Score: -0.53  |  Epsilon: 0.348  |  Time elapsed: 1034.42s
Checkpoint saved!
Episode #1910  |  Val. Score: -0.80  |  Avg. Val. Score: -0.53  |  Epsilon: 0.346  |  Time elapsed: 1040.72s
Episode #1920  |  Val. Score: -0.40  |  Avg. Val. Score: -0.53  |  Epsilon: 0.343  |  Time elapsed: 1046.41s
Episode #1930  |  Val. Score: -0.90  |  Avg. Val. Score: -0.53  |  Epsilon: 0.341  |  Time elapsed: 1053.18s
Episode #1940  |  Val. Score: -0.80  |  Avg. Val. Score: -0.53  |  Epsilon: 0.339  |  Time elapsed: 1058.85s
Episode #1950  |  Val. Score: -0.90  |  Avg. Val. Score: -0.53  |  Epsilon: 0.336  |  Time elapsed: 1065.21s
Episode #1960  |  Val. Score: -0.60  |  Avg. Val. Score: -0.53  |  Epsilon: 0.334  |  Time elapsed: 1071.46s
Episode #1970  |  Val. Score: -0.60  |  Avg. Val. Score: -0.54  |  Epsilon: 0.334  |  Time elapsed: 1076.20s
Episode #1980  |  Val. Score: -0.50  |  Avg. Val. Score: -0.54  |  Epsilon: 0.331  |  Time elapsed: 1082.74s
Episode #1990  |  Val. Score: -0.80  |  Avg. Val. Score: -0.54  |  Epsilon: 0.329  |  Time elapsed: 1089.95s
Episode #2000  |  Val. Score: -0.60  |  Avg. Val. Score: -0.54  |  Epsilon: 0.328  |  Time elapsed: 1094.98s
Checkpoint saved!
Episode #2010  |  Val. Score: -0.30  |  Avg. Val. Score: -0.55  |  Epsilon: 0.326  |  Time elapsed: 1101.53s
Episode #2020  |  Val. Score: -0.40  |  Avg. Val. Score: -0.54  |  Epsilon: 0.325  |  Time elapsed: 1106.30s
Episode #2030  |  Val. Score: -0.70  |  Avg. Val. Score: -0.54  |  Epsilon: 0.322  |  Time elapsed: 1112.76s
Episode #2040  |  Val. Score: -0.90  |  Avg. Val. Score: -0.54  |  Epsilon: 0.321  |  Time elapsed: 1118.34s
Episode #2050  |  Val. Score: -0.80  |  Avg. Val. Score: -0.55  |  Epsilon: 0.319  |  Time elapsed: 1123.86s
Episode #2060  |  Val. Score: -0.30  |  Avg. Val. Score: -0.55  |  Epsilon: 0.317  |  Time elapsed: 1129.33s
Episode #2070  |  Val. Score: -0.50  |  Avg. Val. Score: -0.55  |  Epsilon: 0.315  |  Time elapsed: 1135.74s
Episode #2080  |  Val. Score: -0.60  |  Avg. Val. Score: -0.56  |  Epsilon: 0.313  |  Time elapsed: 1141.54s
Episode #2090  |  Val. Score: -0.80  |  Avg. Val. Score: -0.57  |  Epsilon: 0.312  |  Time elapsed: 1146.94s
Episode #2100  |  Val. Score: -0.40  |  Avg. Val. Score: -0.57  |  Epsilon: 0.311  |  Time elapsed: 1152.75s
Checkpoint saved!
Episode #2110  |  Val. Score: -0.30  |  Avg. Val. Score: -0.57  |  Epsilon: 0.309  |  Time elapsed: 1157.69s
